dataset,method,model,imputation,base_model,F1,missing_perc
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.4324070156031399,20.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.36679700677598387,40.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.33433075138500806,50.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.29753648140915195,60.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.26915411584145976,70.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.2393646176380178,80.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.2018131986065044,90.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.1752811932342068,95.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.14890106576740594,98.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.43289257193297925,20.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.36742463944325027,40.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.33504184939851767,50.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.29935710376130814,60.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.2736120074365652,70.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.239892933490984,80.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.20151362200192138,90.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.1752811932342068,95.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.14890106576740594,98.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.47526717673005736,20.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.42902533487228006,40.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.3980048546632049,50.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.35855207858675536,60.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.33386932648622075,70.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.2763535183888843,80.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.214810785361448,90.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.16217670332366574,95.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.12492105354616524,98.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.4324070156031399,20.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.36679700677598387,40.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.33433075138500806,50.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.29753648140915195,60.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.26915411584145976,70.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.2393646176380178,80.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.2018131986065044,90.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.1752811932342068,95.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.14890106576740594,98.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.43289257193297925,20.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.36742463944325027,40.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.33504184939851767,50.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.29935710376130814,60.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.2736120074365652,70.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.239892933490984,80.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.20151362200192138,90.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.1752811932342068,95.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.14890106576740594,98.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.4781063272283956,20.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.4397169196912459,40.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.40783147884433735,50.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.36565800868887466,60.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.3393628932491225,70.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.27956155396465737,80.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.2181855102195051,90.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.16237283826439966,95.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.12469281055174071,98.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.4324070156031399,20.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.36679700677598387,40.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.33433075138500806,50.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.29753648140915195,60.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.26915411584145976,70.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.2393646176380178,80.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.2018131986065044,90.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.1752811932342068,95.0
poly_binarised_decimalised_synth,mcar,mean xgboost,mean,xgboost,0.14890106576740594,98.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.43289257193297925,20.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.36742463944325027,40.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.33504184939851767,50.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.29935710376130814,60.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.2736120074365652,70.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.239892933490984,80.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.20151362200192138,90.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.1752811932342068,95.0
poly_binarised_decimalised_synth,mcar,ice xgboost,ice,xgboost,0.14890106576740594,98.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.47847043202819434,20.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.4352359268843601,40.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.39676778226302767,50.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.3589120631321356,60.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.33465929817839885,70.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.281317845975269,80.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.21954744990076241,90.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.16423161373620035,95.0
poly_binarised_decimalised_synth,mcar,missforest xgboost,missforest,xgboost,0.1275783342527231,98.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.5078004386614606,20.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.4941996854998769,40.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.4795759306243356,50.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.4764332143717809,60.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.4570568128135937,70.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.425780240266387,80.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.2799275030701225,90.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.0908148746968472,95.0
poly_binarised_decimalised_synth,mnar,mean xgboost,mean,xgboost,0.0908148746968472,98.0
poly_binarised_decimalised_synth,mnar,ice xgboost,ice,xgboost,0.5018406717119097,0.0
poly_binarised_decimalised_synth,mnar,ice xgboost,ice,xgboost,0.5068124886503264,20.0
