dataset,method,model,imputation,base_model,F1,missing_perc
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.27384253078712395,0.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.2454409815528308,20.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.22071380175316513,40.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.21961033486577594,50.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.20991608305433804,60.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.2134206772835371,70.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.19247270374327355,80.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.1787236092815331,90.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.1637619971681932,95.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.17198361031679832,98.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.2695209251494154,0.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.27456707329784213,10.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.25858884435748014,20.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.26748073160586183,30.000000000000004
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.2603638598875499,40.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.26291254863031016,50.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.26698125503442566,60.00000000000001
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.2851594888654952,70.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.2731503106550154,80.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.26226685740469013,90.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.1764680900652117,0.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16416414089447015,20.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16548380422110381,40.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.17390115515091564,50.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.17068328017008177,60.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.17634066600326037,70.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.17593539885223164,80.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.17509683418428917,90.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.17022691531581727,95.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16154222378355135,98.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.16929163235875988,0.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.1641695935403197,10.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.1605579997183024,20.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.1684367613103136,30.000000000000004
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.17058427789567604,40.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.18069467557382782,50.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.17501610348899896,60.00000000000001
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.17630119441133063,70.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.1691853663974983,80.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.17632777560294338,90.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16124494961681723,0.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16179064326827172,20.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16626137197605545,40.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16952948948802798,50.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.1622989282259573,60.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16529012013670893,70.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.15701000316896402,80.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.15496293184437632,90.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16097648327669092,95.0
poly_binarised_decimalised_synth,mcar,F-Act,,F-Act,0.16423996699301463,98.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.16349518448755415,0.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.17161630650410997,10.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.16723722475157907,20.0
poly_binarised_decimalised_synth,mnar,F-Act,,F-Act,0.1503953142710828,30.000000000000004
